,DS Name,DS Index,Correct,Layer 0 confidence,Layer 1 confidence,Layer 2 confidence,Layer 3 confidence,Layer 4 confidence,Layer 5 confidence,Layer 6 confidence,Layer 7 confidence,Layer 8 confidence,Layer 9 confidence,Layer 10 confidence,Layer 11 confidence,Layer 12 confidence,Layer 13 confidence,Layer 14 confidence,Layer 15 confidence,Layer 16 confidence,Layer 17 confidence,Layer 18 confidence,Layer 19 confidence,Layer 20 confidence,Layer 21 confidence,Layer 22 confidence,Layer 23 confidence,Layer 24 confidence,Layer 25 confidence,Layer 26 confidence,Layer 27 confidence,Layer 28 confidence,Layer 29 confidence,Layer 30 confidence,Layer 31 confidence,Perms Seed
259,ICL-AGNews-Size1000-8Dem.csv,259,0,9.16026863251318e-07,6.387420853570802e-06,5.9235040680505335e-05,9.609973858459853e-06,5.381556547945365e-06,2.0235433112247847e-05,9.892736670735758e-06,1.1131724932056386e-05,7.222954081953503e-06,7.596169780299533e-06,1.565952698001638e-05,1.7705442587612197e-05,4.185955731372815e-06,4.173596153123071e-06,6.417095846700249e-06,7.5001325967605226e-06,5.509404945769347e-05,0.00010330038639949635,0.003193875774741173,0.0014498562086373568,0.000355384690919891,0.018229616805911064,0.025978630408644676,0.24549703299999237,0.4320034682750702,0.2580520808696747,0.0896037220954895,0.31492316722869873,0.29438772797584534,0.269561767578125,0.2842455506324768,0.16756431758403778,4183985291
260,ICL-AGNews-Size1000-8Dem.csv,260,0,2.4455443963233847e-06,6.5826307036331855e-06,7.803212611179333e-06,3.315796493552625e-05,3.645976175903343e-05,2.3113767383620143e-05,1.52378588609281e-05,4.067582267452963e-06,7.973634637892246e-06,2.7694364689523354e-05,8.379893188248388e-06,1.7554966689203866e-05,1.131595217884751e-05,2.2297508621704765e-05,9.803198190638795e-05,0.00024277239572256804,0.0006966503569856286,0.0013341677840799093,0.002930545713752508,0.15170252323150635,0.17784766852855682,0.09944936633110046,0.09282021969556808,0.12291721254587173,0.04734724014997482,0.07517361640930176,0.19197328388690948,0.05923264101147652,0.01537235639989376,0.01115233264863491,0.039925601333379745,0.2272840142250061,3886212792
261,ICL-AGNews-Size1000-8Dem.csv,261,0,1.691435727479984e-06,0.00011150898353662342,0.00011697507579810917,9.126218355959281e-05,3.841775469481945e-05,7.449733675457537e-05,0.00019588106079027057,7.265162275871262e-05,3.1170293368631974e-05,2.20444180740742e-05,3.131237826892175e-05,3.090759855695069e-05,1.5274859833880328e-05,5.740204142057337e-05,6.802340794820338e-05,0.00014890926831867546,0.004116474650800228,0.0029753202106803656,0.0032392090652137995,0.1492278128862381,0.18740715086460114,0.18656471371650696,0.2297637015581131,0.17401061952114105,0.17635802924633026,0.18406732380390167,0.20414817333221436,0.227781280875206,0.5060551166534424,0.10840366780757904,0.014453575946390629,0.3415599465370178,221655188
262,ICL-AGNews-Size1000-8Dem.csv,262,1,2.70038526650751e-06,5.601118118647719e-06,7.05706679582363e-06,3.517162622301839e-05,3.0020029953448102e-05,3.0981103918747976e-05,1.9361033992026933e-05,3.0734145184396766e-06,8.123277439153753e-06,2.4099352231132798e-05,1.125953804148594e-05,1.565133970871102e-05,1.266410072275903e-05,4.2530173232080415e-05,0.00014543399447575212,0.00024029238556977361,0.002028403803706169,0.0029918192885816097,0.009861081838607788,0.17461305856704712,0.2011570781469345,0.10422034561634064,0.10492139309644699,0.2527686059474945,0.07556965947151184,0.1580146998167038,0.26211196184158325,0.09013279527425766,0.022084511816501617,0.012104310095310211,0.0845496729016304,0.37823858857154846,2769396949
263,ICL-AGNews-Size1000-8Dem.csv,263,0,8.467213206131419e-07,4.715930572274374e-06,5.1500184781616554e-05,6.29033138466184e-06,3.3314699976472184e-06,1.6356168998754583e-05,8.905869435693603e-06,8.847003300616052e-06,4.953728421241976e-06,5.833388058817945e-06,8.057205377554055e-06,2.8890731300634798e-06,7.721471888544329e-07,1.6317317204084247e-06,3.3161809369630646e-06,2.4507619400537806e-06,3.7132398574613035e-05,0.00025554309831932187,0.006121321581304073,0.0036815162748098373,0.002242945833131671,0.14343637228012085,0.11463552713394165,0.5888404250144958,0.5248972773551941,0.27308717370033264,0.08077364414930344,0.22838588058948517,0.06371364742517471,0.052130840718746185,0.1621464341878891,0.22220568358898163,3306305653
264,ICL-AGNews-Size1000-8Dem.csv,264,1,1.3009237136429874e-06,1.216286023009161e-06,2.0633076474041445e-06,3.148052201140672e-06,1.5677497913202387e-06,9.972349062081776e-07,4.034372523165075e-06,9.317999683844391e-06,7.350309260800714e-06,6.040113021299476e-06,3.720553422681405e-06,1.0795303751365282e-05,1.3828679584548809e-05,9.539687198412139e-06,2.613115793792531e-05,0.0001434802688891068,0.004197496455162764,0.006779534742236137,0.0206601619720459,0.0360344760119915,0.06346947699785233,0.207973912358284,0.2067398577928543,0.10864032804965973,0.20854929089546204,0.232895627617836,0.3345835506916046,0.25890421867370605,0.7649805545806885,0.5563836693763733,0.7362272143363953,0.4107701778411865,2812880943
265,ICL-AGNews-Size1000-8Dem.csv,265,1,2.748495035120868e-06,4.7154671847238205e-06,6.118781129771378e-06,3.036260932276491e-05,3.3709871786413714e-05,3.516907963785343e-05,3.6904544685967267e-05,7.972203093231656e-06,1.957324639079161e-05,3.833644586848095e-05,9.592004062142223e-06,9.02966803550953e-06,9.613760084903333e-06,5.2131425036350265e-05,0.00025230349274352193,0.0005194814293645322,0.0027506102342158556,0.004410457797348499,0.009060230106115341,0.35382282733917236,0.2701094150543213,0.20725682377815247,0.18156132102012634,0.020681390538811684,0.04405880346894264,0.15843720734119415,0.2673010528087616,0.08288730680942535,0.11809100210666656,0.09355828166007996,0.11650848388671875,0.30007967352867126,961810111
266,ICL-AGNews-Size1000-8Dem.csv,266,0,8.355883096555772e-07,5.96841437072726e-06,5.8986486692447215e-05,1.0291409125784412e-05,3.1015827062219614e-06,7.3544315455364995e-06,6.641248091909802e-06,7.912622095318511e-06,5.6655089792911895e-06,1.2118603990529664e-05,8.406994311371818e-06,1.9515075564413564e-06,8.016860419957084e-07,5.233953856986773e-07,5.547229875446646e-07,1.418994315827149e-06,1.4756165910512209e-05,4.733925379696302e-05,0.0008067339076660573,0.0029405674431473017,0.001759119681082666,0.01539758499711752,0.01204557903110981,0.4571160674095154,0.07689637690782547,0.04859847575426102,0.025566477328538895,0.05151256546378136,0.00614901864901185,0.008474946953356266,0.03773368149995804,0.11871352046728134,263782050
267,ICL-AGNews-Size1000-8Dem.csv,267,0,1.8943092072731815e-06,4.980854555469705e-06,5.940539722359972e-06,2.6720617825048976e-05,2.3668746507610194e-05,1.4333946637634654e-05,9.241874977305997e-06,1.5017075156720239e-06,3.7295733363862382e-06,1.97934677999001e-05,7.340342563111335e-06,1.843910285970196e-05,1.2443598279787693e-05,4.038197221234441e-05,0.00015045652980916202,0.000456326175481081,0.0012431647628545761,0.0017801332287490368,0.002954034833237529,0.10155005753040314,0.15606746077537537,0.01895558089017868,0.024959640577435493,0.046930212527513504,0.025250021368265152,0.042685043066740036,0.12098425626754761,0.05129827931523323,0.01068161427974701,0.005955856759101152,0.04148995131254196,0.18637090921401978,3623026470
268,ICL-AGNews-Size1000-8Dem.csv,268,0,9.797925031307386e-07,6.35411151961307e-06,7.765931513858959e-05,8.668625923746731e-06,5.516297278518323e-06,2.1533229300985113e-05,1.583461562404409e-05,1.7039843442034908e-05,1.1033791452064179e-05,1.137009803642286e-05,3.091484904871322e-05,6.465268597821705e-06,2.716202288866043e-06,2.4997268610604806e-06,5.9389640227891505e-06,6.8869549068040214e-06,6.131434929557145e-05,0.00039071141509339213,0.011422459967434406,0.02111111953854561,0.012678512372076511,0.3491094708442688,0.23279176652431488,0.6671651005744934,0.5271875262260437,0.3557257652282715,0.18703533709049225,0.303707480430603,0.058993853628635406,0.05058874562382698,0.18529333174228668,0.26027342677116394,442838877
